publisher_original	publisher_harmonized
ESTRA (Eesti Transpersonaalne Assotsiatsioon)	estra (transpersonaalne assotsiatsioon
ESTRA (Estonian Transpersonal Association)	estra (estonian transpersonal association
ESTRA Eesti Transpersonaalne Assotsiatsioon	estra transpersonaalne assotsiatsioon
ESTRA, Eesti Transpersonaalne Assotsiatsioon	estra transpersonaalne assotsiatsioon
ESVTS Aretusühistu	esvts aretusühistu
"ESÜ ja EGL suurlaager ""Tähemets"""	esü&egl suurlaager tähemets
ESÜ suurlaager Seiklusratas	esü suurlaager seiklusratas
ET	et
ET INFOkeskus	et infokeskus
ET Infokeskus	et infokeskus
ET Infokeskus [levitaja]	et infokeskus levitaja
ET Infokeskuse	et infokeskuse
ET Infokeskuse AS	et infokeskuse
E-T. Särel	et.särel
ETA	eta
Eta	eta
ETBL	etbl
ETDM	etdm
ETF	etf
etf	etf
ET-Info [levitaja]	etinfo levitaja
ET-INFOkeskus	etinfokeskus
ET-Infokeskus	etinfokeskus
ETK	etk
ETK Kirjastusbüroo	etk kirjastusbüroo
ETK Omatööstus	etk omatööstus
ETKA Andras	etka andras
ETKVL	etkvl
ETKVL Kaubandus Reklaami Valitsus	etkvl kaubandus reklaami valitsus
ETKVL Kaubandusliku Inventari Tehas	etkvl kaubandusliku inventari tehas
"ETKVL Koondis ""Auto"""	etkvl koondis auto
ETKVL Kooperatiivkool	etkvl ühingkool
ETKVL Rajoonidevaheline Tallinna Kaubabaas	etkvl rajoonidevaheline tallinn kaubabaas
ETKVL Tallinna Spordiklubi	etkvl tallinn spordiklubi
ETKVL-i kirjastus	etkvli
ETKVL-i Masinatehas	etkvli masinatehas
ETKVL}	etkvl}
ETLA	etla
ETMÜ	etmü
ETNA Eestimaal	etna eestimaal
Etno Tuba	etno tuba
Etnograafia Muuseum	etnograafia muuseum
Etnologiska Institutionen	etnologiska institutionen
ETP Keskkomitee	etp keskkomitee
eTraining	etraining
ETSE	etse
"Ettevõtjate Klubi ""Iz pervõh ruk..."""	ettevõtjate klubi iz pervõh ruk
Ettevõtluse Aendamise Sihtasutus	ettevõtluse aendamise sihtasutus
Ettevõtluse Arendamise Sihtasutus	ettevõtluse arendamise sihtasutus
Ettevõtluse Arenduse Sihtasutus	ettevõtluse arenduse sihtasutus
Ettevõtluse ja Innovatsiooni SA	ettevõtluse&innovatsiooni
Ettevõtluskoolitused	ettevõtluskoolitused
Ettevõtluskoolitused OÜ	ettevõtluskoolitused
Ettevõtlusõppe Mõttekoda	ettevõtlusõppe mõttekoda
Ettevõtteregister	ettevõtteregister
Ettinger	ettinger
ETTÜN Linnamajanduse ja Autotranspordi Teaduslik-T	ettün linnamajanduse&autotranspordi teadusliktehni
ETTÜN Linnavalitsuse ja Autotranspordi Teaduslik-T	ettün linnavalitsuse&autotranspordi teadusliktehni
Etukeno	etukeno
ETY-Lehdet	etylehdet
Eudaimonia	eudaimonia
Eugen Diederich Verlag	eugen diederich
Eugen Häusler	eugen häusler
Eugen Salzer	eugen salzer
Eugen Salzer Verlag	eugen salzer
Eugen Salzer-Verlag	eugen salzerverlag
EUI	eui
Eulen	eulen
Eulenspiegel	eulenspiegel
Eulenspiegel Verlag	eulenspiegel
Eurasian Coalition on Health, Rights, Gender and S	eurasian coalition on health rights gender and sex
Euregio	euregio
Euregio Helsinki-Tallinn	euregio helsinkitallinn
Eurest	eurest
EurEst Tõlketeenused	eurest tõlketeenused
Eurest Tõlketeenused	eurest tõlketeenused
EuroAcademy	euroacademy
Euroacademy	euroacademy
Euroakadeemia	euroakadeemia
Euroaudioguide	euroaudioguide
Eurocare	eurocare
Euroeditor	euroeditor
EuroFaculty	eurofaculty
Eurofaculty	eurofaculty
Eurohouse	eurohouse
Euroinformer	euroinformer
Eurointegratsiooni Büroo	eurointegratsiooni büroo
Eurolegend OÜ	eurolegend
Eurolehti	eurolehti
Euromaja	euromaja
Euromar	euromar
Euroopa Eripedagoogika Arendamise Agentuur	euroopa eripedagoogika arendamise agentuur
Euroopa Genealoogia ja Heraldika Selts Eestis	euroopa genealoogia&heraldika selts eestis
Euroopa Kaugkütte Torude Tootjate Ühing	euroopa kaugkütte torude tootjate ühing
EUROOPA KEELTE KOOL	euroopa keelte kool
Euroopa Keelte Kool	euroopa keelte kool
Euroopa Keelte kool	euroopa keelte kool
Euroopa Keskkonnaagentuur	euroopa keskkonnaagentuur
Euroopa Keskpank	euroopa keskpank
Euroopa Kolledž	euroopa kolledž
Euroopa Komisjon	euroopa komisjon
Euroopa Komisjon, Tööhõive- ja Sotsiaalpoliitika P	euroopa komisjon tööhõive&sotsiaalpoliitika peadir
Euroopa Komisjon, Tööhõive- ja sotsiaalpoliitika p	euroopa komisjon tööhõive&sotsiaalpoliitika peadir
Euroopa Komisjoni Delegatsioon Eestis	euroopa komisjoni delegatsioon eestis
Euroopa Komisjoni Eesti esindus	euroopa komisjoni esindus
Euroopa Komisjoni Esindus Eestis	euroopa komisjoni esindus eestis
Euroopa Kontrollikoda	euroopa kontrollikoda
Euroopa Liidu Ametlike Väljaannete Talitus	euroopa ühing
Euroopa Liidu Delegatsioon Eestis	euroopa ühing
Euroopa Liidu esindus Eestis	euroopa ühing
Euroopa Liidu Infokeskus	euroopa ühing
Euroopa Liidu Infosekretariaat	euroopa ühing
Euroopa Liidu Innovatsioonikeskus	euroopa ühing
Euroopa Liidu Inovatsioonikeskus	euroopa ühing
Euroopa Liidu SAVE II Projekt	euroopa ühing
Euroopa Liidu Väljaannete Talitlus	euroopa ühing
Euroopa Liidu Väljaannete Talitus	euroopa ühing
Euroopa Liit	euroopa ühing
Euroopa Majandus- ja Sotsiaalkomitee	euroopa majandus&sotsiaalkomitee
Euroopa Meresõiduohutuse Amet	euroopa meresõiduohutuse amet
Euroopa Noored	euroopa noored
Euroopa Noored Eesti Büroo	euroopa noored büroo
Euroopa Noored Eesti büroo	euroopa noored büroo
Euroopa Nõukogu	euroopa nõukogu
Euroopa Nõukogu Info- ja Dokumendikeskus	euroopa nõukogu info&dokumendikeskus
Euroopa Nõukogu Kirjastus	euroopa nõukogu
Euroopa Nõukogu Tallinna Info- ja Dokumendikeskus	euroopa nõukogu tallinn info&dokumendikeskus
Euroopa Nõukogu Tallinna Infotalitus	euroopa nõukogu tallinn infotalitus
Euroopa Parlamendi Infobüroo Eestis	euroopa parlamendi infobüroo eestis
Euroopa Parlamendi Peasekretariaat	euroopa parlamendi peasekretariaat
Euroopa Parlamendi Sotsiaaldemokraatide Fraktsioon	euroopa parlamendi sotsiaaldemokraatide fraktsioon
Euroopa Parlamendi Teabeosakond	euroopa parlamendi teabeosakond
Euroopa Parlamendi uuringuteenistus	euroopa parlamendi uuringuteenistus
Euroopa Parlament	euroopa parlament
Euroopa Põhiõiguste Amet	euroopa põhiõiguste amet
Euroopa rändevõrgustiku Eesti kontaktpunkt	euroopa rändevõrgustiku kontaktpunkt
Euroopa Uuringute Instituut	euroopa uuringute instituut
Euroopa Ühenduse Komisjon	euroopa ühenduse komisjon
Euroopa Ühendused	euroopa ühendused
Euroopa Ühenduste Ametlike Väljaannete Talitus	euroopa ühenduste ametlike väljaannete talitus
Euroopa Ühenduste Ametlike] Väljaannete Talitus	euroopa ühenduste ametlike väljaannete talitus
[Euroopa Ühenduste Ametlike] Väljaannete Talitus	euroopa ühenduste ametlike väljaannete talitus
[Euroopa Ühenduste] Ametlike Väljaannete Talitus	euroopa ühenduste ametlike väljaannete talitus
Euroopa Ühenduste Kohus	euroopa ühenduste kohus
Euroopa Ühenduste Komisjon	euroopa ühenduste komisjon
EuroopaLiidu Ametlike Väljaannete Talitus	euroopaliidu ametlike väljaannete talitus
Euroopan komission Viron-edustusto	euroopan komission vironedustusto
Europa	europa
Europa Books	europa books
Europa Lehrmittel	europa lehrmittel
Europan Eesti [etc.]	europan etc
Europartner	europartner
Europassi Keskus	europassi keskus
Europe Books	europe books
Europe Direct teabekeskus	europe direct teabekeskus
Europe Direct teabekeskus Lääne-Virumaa	europe direct teabekeskus läänevirumaa
European Academy of Teachers in General Practice	european academy of teachers in general practice
European and Social Committee	european and social committee
European Association for Women in Science, Enginee	european association for vomen in science engineer
European Central Bank	european central bank
European Centre for Minority Issues	european centre for minority issues
European Commission	european commission
European Commission, Directorate General for Enlar	european commission directorate general for enlarg
European Communities	european communities
European Economic and Social Committee	european economic and social committee
European Federation of National Institutions for L	european federation of national institutions for l
European Migration Network	european migration netvork
European Network for Women's Studies	european netvork for women's studies
European Parliament	european parliament
European Renal Association-European Dialysis Trans	european renal associationeuropean dialysis transp
European Schoolnet	european schoolnet
European Society of Mycobacteriology	european society of mycobacteriology
European Training Foundation	european training foundation
European Trainining Foundation	european trainining foundation
European University Institute	european university institute
European Women's Lobby	european vomen's lobby
EuroPharmProject	europharmproject
Europharmproject	europharmproject
Europoli ühine järelevalveasutus	europoli ühine järelevalveasutus
Europäische Bibliothek	europäische bibliothek
Europäische Bildungsgemeinschaft	europäische bildungsgemeinschaft
Europäischer Hochschulverlag	europäischer hochschulverlag
Europäischer Literaturverlag (elv)	europäischer literaturverlag (elv
EuroUniversity	eurouniversity
Euroülikool	euroülikool
Európa	európa
Európa Könyvkiadó	európa könyvkiadó
Európa könyvkiadó	európa könyvkiadó
EV art	ev art
Ev Art	ev art
EV Rahandusministeerium	ev rahandusministeerium
EV Turismi- ja Ekskursiooninõukogu, ENSV Matkaföde	ev turismi&ekskursiooninõukogu ensv matkaföderatsi
Ev. Kr. Vabakogudus	ev.kr.vabakogudus
Ev. Kr. Vabausuühing	ev.kr.vabausuühing
Ev. Kristlaste Vabakogudus	ev.kristlaste vabakogudus
Ev. Lut. Herätysseura	ev.lut.herätysseura
Ev. Luteri usu Türi kogudus	ev.luteri usu türi kogudus
Ev. Luteriusuliste Rahuühenduse Selts	ev.luteriusuliste rahuühenduse selts
Ev.-Luteruse Püha-Vaimu kogudus	ev.luteruse pühavaimu kogudus
Ev.-Luth. kiriku keskkassa	ev.luth.kiriku keskkassa
Ev. Vennaste Koguduse Pühapäevakooli Komitee	ev.vennaste koguduse pühapäevakooli komitee
Ev. Vennaste Koguduse pühapäevakooli Komitee	ev.vennaste koguduse pühapäevakooli komitee
EVA	eva
Eva Jänes ja Reeli Kõiv	eva jänes&reeli kõiv
Evald Okase Muuseum	evald okase muuseum
Evald Pärnaste	evald pärnaste
Evang. Missionsverlag	evang.missionsverlag
Evangeelium igasse kodusse	evangeelium igasse kodusse
Evangeeliumi Kristlaste Vabakogudus	evangeeliumi kristlaste vabakogudus
Evangeeliumi Kristlaste Vabakoguduse Pärnu osakond	evangeeliumi kristlaste vabakoguduse pärnu osakond
Evangeeliumi Kristlaste Vabausuühing	evangeeliumi kristlaste vabausuühing
Evangeeliumi Luteruse usu kogudus	evangeeliumi luteruse usu kogudus
Evangeeliumi Vennaste kogudus	evangeeliumi vennaste kogudus
Evangeelne Mariaõeskond	evangeelne mariaõeskond
Evangeelse Luteruse Narva Pauluse kogudus	evangeelse luteruse narva pauluse kogudus
Evangeelse Ühingu Kirjastus	evangeelse ühing
Evangelical Press	evangelical
Evangeliföreningens förlag	evangeliföreningens
Evangeliipress	evangeliipress
Evangelische Marienschwesternschaft	evangelische marienschvesternschaft
Evangelische Verein	evangelische verein
Evangelische Verlagsanstalt	evangelischesanstalt
Evangelischer Verlag	evangelischer
Evenor	evenor
Event Assistance	event assistance
EventLab	eventlab
Evera	evera
Everyman Chess	everyman chess
Evestuudio	evestuudio
evestuudio	evestuudio
EVG  Print	evg
EVG Print	evg
eVikings	evikings
Evispo	evispo
EVK	evk
EVL	evl
"EVO ""Kalev"""	evo kalev
"EVO ""Kalev"" Harju Rajooninõukogu"	evo kalev harju rajooninõukogu
"EVO ""Kalev"" Vabariiklik Nõukogu"	evo kalev vabariiklik nõukogu
EVR	evr
EVR tee ja ehituste kuuteenijate ja alaliste päeva	evr tee&ehituste kuuteenijate ja alaliste päevatöö
Ewangeliumi Wennaste kogudus	evangeliumi wennaste kogudus
Ewangeliumi wäljalautamise raamatu-selts	evangeliumi wäljalautamise raamatuselts
Ewerest	everest
Ex Arte	ex arte
ex officina academica J. C. Schünmanni	ex officina academica j.c.schünmanni
Ex Officina C. Mattiesenii	ex officina c.mattiesenii
Ex officina Elzeviriana	ex officina elzeviriana
ex Officina Elzeviriana	ex officina elzeviriana
ex typographia Christophori Reusneri	ex typographia christophori reusneri
excudebat Chr. Reusnerus senior, gymnasii typograp	excudebat chr.reusnerus senior gymnasii typographu
excudebat Chr. Reusnerus senior, gymnasij typograp	excudebat chr.reusnerus senior gymnasij typographu
excudebat Christophorus Reusnerus senior, gymnasij	excudebat christophorus reusnerus senior gymnasij 
Excudebat Gerhardus Schröder	excudebat gerhardus schröder
excudebat Iacobus Lucius	excudebat iacobus lucius
Excudebat JOHANNES Vogel	excudebat johannes vogel
Excudit Johannes Winter	excudit johannes vinter
Executive Committee of the Estonian Sub-Branch of 	executive committee of the estonian subbranch of t
EXEX	exex
Exlibristen	exlibristen
Experiment Station, College of Agriculture, Univer	experiment station college of agriculture universi
